Id,Код,Возраст,Среднемесячный расход,Средняя продолжительность разговоров,Звонков днем за месяц,Звонков вечером за месяц,Звонков ночью за месяц,Звонки в другие города,Звонки в другие страны,Доля звонков на стационарные телефоны,Количество SMS за месяц
0,0,24,121.54,2.4,12,65,5,0,0,5,56
1,1,51,287.51,1.7,111,109,1,44,0,6,1
2,2,41,113.7,2.1,41,27,0,0,0,1,36
3,3,35,410.23,5.6,47,49,0,0,0,11,23
4,4,26,537.6,4.8,58,77,4,0,0,16,29
5,5,26,324.56,3.3,45,75,3,1,1,8,15
6,6,50,410.04,4.1,61,71,0,0,2,23,4
7,7,66,14.52,1.1,10,1,0,0,0,3,1
8,8,36,209.12,2.5,34,70,3,2,0,7,63
9,9,40,162.4,1.6,79,32,4,0,0,18,27
10,10,23,2672.34,13.8,222,77,10,30,0,20,10
11,11,29,556.92,3.4,97,96,2,0,0,0,49
12,12,43,636.75,6.8,59,64,0,0,0,8,18
13,13,21,57.33,2.0,2,39,8,0,0,2,21
14,14,37,339.2,2.5,41,152,6,4,0,1,20
15,15,69,50.4,2.1,15,5,0,0,0,14,3
16,16,46,539.28,5.1,92,37,0,25,0,27,0
17,17,37,222.09,1.9,61,95,5,0,0,1,18
18,18,48,202.3,3.4,31,41,0,30,0,1,4
19,19,52,17.69,1.8,7,5,0,0,0,0,0
20,20,59,74.88,2.4,9,17,0,0,0,7,1
21,21,27,245.95,2.7,62,55,0,0,0,19,23
22,22,30,318.82,3.5,50,72,0,2,0,12,26
23,23,51,3608.54,13.8,326,77,15,58,3,58,0
24,24,53,118.44,2.4,36,19,1,4,0,14,4
25,25,38,166.77,1.7,45,91,0,0,0,11,56
26,26,53,606.84,7.3,48,61,3,0,2,5,1
27,27,30,349.59,2.8,69,96,6,7,1,6,3
28,28,34,180.91,1.6,87,54,1,36,0,11,30
29,29,59,1187.88,8.4,91,93,2,0,0,18,5
30,30,43,145.24,2.4,34,44,6,7,0,12,15
31,31,19,52.43,0.7,29,74,8,0,0,0,39
32,32,29,237.22,2.8,33,86,0,1,0,3,55
33,33,41,330.75,7.5,41,5,0,2,0,7,12
34,34,54,513.68,6.4,35,77,0,0,0,2,3
35,35,51,214.2,1.7,104,34,0,38,0,8,4
36,36,51,966.2,6.4,104,90,0,0,0,18,4
37,37,53,351.26,2.6,106,43,2,41,2,27,4
38,38,45,189.51,2.5,59,36,0,0,0,21,3
39,39,53,955.63,5.2,99,147,3,24,0,12,1
40,40,25,662.73,5.1,87,81,0,4,0,18,53
41,41,53,343.73,3.8,48,73,4,0,0,15,4
42,42,60,285.6,2.0,46,139,0,33,0,4,4
43,43,59,196.0,3.5,35,31,0,0,0,11,2
44,44,59,310.54,3.9,31,81,0,2,0,3,2
45,45,50,343.73,3.8,62,54,0,31,0,8,1
46,46,68,39.0,2.5,9,4,0,0,0,4,3
