Id,Код,Возраст,Среднемесячный расход,Средняя продолжительность разговоров,Звонков днем за месяц,Звонков вечером за месяц,Звонков ночью за месяц,Звонки в другие города,Звонки в другие страны,Доля звонков на стационарные телефоны,Количество SMS за месяц
0,0,0.34285714285714286,0.02363322418312346,0.12,0.024,0.40625,0.045871559633027525,0.0,0.0,0.08333333333333333,0.3128491620111732
1,1,0.7285714285714285,0.05590577822025527,0.08499999999999999,0.222,0.68125,0.009174311926605505,0.5,0.0,0.1,0.00558659217877095
2,2,0.5857142857142857,0.02210875094307337,0.10500000000000001,0.082,0.16875,0.0,0.0,0.0,0.016666666666666666,0.2011173184357542
3,3,0.5,0.07976845118185566,0.27999999999999997,0.094,0.30625,0.0,0.0,0.0,0.18333333333333332,0.12849162011173185
4,4,0.37142857142857144,0.10453530788914901,0.24,0.116,0.48125,0.03669724770642202,0.0,0.0,0.26666666666666666,0.16201117318435754
5,5,0.37142857142857144,0.06311008096819606,0.16499999999999998,0.09,0.46875,0.027522935779816515,0.011363636363636364,0.08333333333333333,0.13333333333333333,0.08379888268156424
6,6,0.7142857142857143,0.07973150603955853,0.205,0.122,0.44375,0.0,0.0,0.16666666666666666,0.38333333333333336,0.0223463687150838
7,7,0.9428571428571428,0.002823386663970319,0.05500000000000001,0.02,0.00625,0.0,0.0,0.0,0.05,0.00558659217877095
8,8,0.5142857142857142,0.040662990300927904,0.125,0.068,0.4375,0.027522935779816515,0.022727272727272728,0.0,0.11666666666666667,0.35195530726256985
9,9,0.5714285714285714,0.031578374258180435,0.08,0.158,0.2,0.03669724770642202,0.0,0.0,0.3,0.15083798882681565
10,10,0.32857142857142857,0.519631481927992,0.6900000000000001,0.444,0.48125,0.09174311926605505,0.3409090909090909,0.0,0.3333333333333333,0.055865921787709494
11,11,0.4142857142857143,0.1082920455164153,0.16999999999999998,0.194,0.6,0.01834862385321101,0.0,0.0,0.0,0.2737430167597765
12,12,0.6142857142857143,0.12381483872473147,0.33999999999999997,0.118,0.4,0.0,0.0,0.0,0.13333333333333333,0.1005586592178771
13,13,0.3,0.011147710567866282,0.1,0.004,0.24375,0.07339449541284404,0.0,0.0,0.03333333333333333,0.11731843575418995
14,14,0.5285714285714286,0.06595680140624878,0.125,0.082,0.95,0.05504587155963303,0.045454545454545456,0.0,0.016666666666666666,0.11173184357541899
15,15,0.9857142857142858,0.00980018511460772,0.10500000000000001,0.03,0.03125,0.0,0.0,0.0,0.23333333333333334,0.01675977653631285
16,16,0.6571428571428571,0.1048619807263026,0.255,0.184,0.23125,0.0,0.2840909090909091,0.0,0.45,0.0
17,17,0.5285714285714286,0.043184982383000566,0.095,0.122,0.59375,0.045871559633027525,0.0,0.0,0.016666666666666666,0.1005586592178771
18,18,0.6857142857142857,0.03933685414057821,0.16999999999999998,0.062,0.25625,0.0,0.3409090909090909,0.0,0.016666666666666666,0.0223463687150838
19,19,0.7428571428571429,0.003439787195980369,0.09,0.014,0.03125,0.0,0.0,0.0,0.0,0.0
20,20,0.8428571428571429,0.014560275027417182,0.12,0.018,0.10625,0.0,0.0,0.0,0.11666666666666667,0.00558659217877095
21,21,0.38571428571428573,0.047824514463050964,0.135,0.124,0.34375,0.0,0.0,0.0,0.31666666666666665,0.12849162011173185
22,22,0.42857142857142855,0.06199394877458796,0.175,0.1,0.45,0.0,0.022727272727272728,0.0,0.2,0.1452513966480447
23,23,0.7285714285714285,0.7016738093941775,0.6900000000000001,0.652,0.48125,0.13761467889908258,0.6590909090909091,0.25,0.9666666666666667,0.0
24,24,0.7571428571428571,0.02303043501932814,0.12,0.072,0.11875,0.009174311926605505,0.045454545454545456,0.0,0.23333333333333334,0.0223463687150838
25,25,0.5428571428571428,0.03242811253101448,0.08499999999999999,0.09,0.56875,0.0,0.0,0.0,0.18333333333333332,0.3128491620111732
26,26,0.7571428571428571,0.11799889553469343,0.365,0.096,0.38125,0.027522935779816515,0.0,0.16666666666666666,0.08333333333333333,0.00558659217877095
27,27,0.42857142857142855,0.06797711734554986,0.13999999999999999,0.138,0.6,0.05504587155963303,0.07954545454545454,0.08333333333333333,0.1,0.01675977653631285
28,28,0.4857142857142857,0.035177608910390526,0.08,0.174,0.3375,0.009174311926605505,0.4090909090909091,0.0,0.18333333333333332,0.16759776536312848
29,29,0.8428571428571429,0.23098102964167103,0.42000000000000004,0.182,0.58125,0.01834862385321101,0.0,0.0,0.3,0.027932960893854747
30,30,0.6142857142857143,0.028241644564397327,0.12,0.068,0.275,0.05504587155963303,0.07954545454545454,0.0,0.2,0.08379888268156424
31,31,0.2714285714285714,0.010194914792834976,0.034999999999999996,0.058,0.4625,0.07339449541284404,0.0,0.0,0.0,0.21787709497206703
32,32,0.4142857142857143,0.046126982398556414,0.13999999999999999,0.066,0.5375,0.0,0.011363636363636364,0.0,0.05,0.30726256983240224
33,33,0.5857142857142857,0.06431371481461316,0.375,0.082,0.03125,0.0,0.022727272727272728,0.0,0.11666666666666667,0.0670391061452514
34,34,0.7714285714285715,0.0998841089220574,0.32,0.07,0.48125,0.0,0.0,0.0,0.03333333333333333,0.01675977653631285
35,35,0.7285714285714285,0.04165078673708281,0.08499999999999999,0.208,0.2125,0.0,0.4318181818181818,0.0,0.13333333333333333,0.0223463687150838
36,36,0.7285714285714285,0.18787577098678532,0.32,0.208,0.5625,0.0,0.0,0.0,0.3,0.0223463687150838
37,37,0.7571428571428571,0.06830184570152992,0.13,0.212,0.26875,0.01834862385321101,0.4659090909090909,0.16666666666666666,0.45,0.0223463687150838
38,38,0.6428571428571429,0.036849862719629145,0.125,0.118,0.225,0.0,0.0,0.0,0.35,0.01675977653631285
39,39,0.7571428571428571,0.18582045438636063,0.26,0.198,0.91875,0.027522935779816515,0.2727272727272727,0.0,0.2,0.00558659217877095
40,40,0.35714285714285715,0.12886660081357093,0.255,0.174,0.50625,0.0,0.045454545454545456,0.0,0.3,0.29608938547486036
41,41,0.7571428571428571,0.06683765137785937,0.19,0.096,0.45625,0.03669724770642202,0.0,0.0,0.25,0.0223463687150838
42,42,0.8571428571428571,0.055534382316110416,0.1,0.092,0.86875,0.0,0.375,0.0,0.06666666666666667,0.0223463687150838
43,43,0.8428571428571429,0.03811183100125225,0.175,0.07,0.19375,0.0,0.0,0.0,0.18333333333333332,0.0111731843575419
44,44,0.8428571428571429,0.06038391836290241,0.195,0.062,0.50625,0.0,0.022727272727272728,0.0,0.05,0.0111731843575419
45,45,0.7142857142857143,0.06683765137785937,0.19,0.124,0.3375,0.0,0.3522727272727273,0.0,0.13333333333333333,0.00558659217877095
46,46,0.9714285714285714,0.007583476576779783,0.125,0.018,0.025,0.0,0.0,0.0,0.06666666666666667,0.01675977653631285
47,47,0.9714285714285714,0.010733536077903694,0.11499999999999999,0.016,0.075,0.0,0.0,0.0,0.16666666666666666,0.00558659217877095
48,48,0.5857142857142857,0.18516905319322696,0.38,0.082,0.75625,0.0,0.0,0.0,0.18333333333333332,0.027932960893854747
49,49,0.37142857142857144,0.11069736872807596,0.27,0.13,0.44375,0.06422018348623854,0.0,0.0,0.15,0.0782122905027933
50,50,0.9285714285714286,0.01437360483475799,0.11000000000000001,0.032,0.075,0.0,0.0,0.0,0.11666666666666667,0.0
51,51,0.9,0.015073618057229968,0.16999999999999998,0.018,0.0625,0.0,0.0,0.0,0.1,0.00558659217877095
52,52,0.7285714285714285,0.0826054492140407,0.27,0.124,0.20625,0.06422018348623854,0.0,0.0,0.26666666666666666,0.027932960893854747
54,54,0.5571428571428572,0.11503161726388166,0.37,0.112,0.275,0.045871559633027525,0.0,0.0,0.48333333333333334,0.12290502793296089
55,55,0.5428571428571428,0.06949964610442641,0.155,0.13,0.55625,0.0,0.07954545454545454,0.08333333333333333,0.36666666666666664,0.01675977653631285
56,56,0.5857142857142857,0.04353887795658362,0.095,0.18,0.3625,0.0,0.0,0.0,0.23333333333333334,0.21787709497206703
